Lang;Source;Metric;Value
C++;nbody;HALSTEAD__Bugs;1.2925274501455593
C++;nbody;HALSTEAD__Estimated program length;628.4225766437056
C++;nbody;HALSTEAD__Purity ratio;0.9912028022771382
C++;nbody;MI__Original;36.0826764831795
C++;nbody;MI__Sei;9.908528038966214
C++;nbody;MI__Visual Studio;21.100980399520175
C++;regexredux;SLOC;94
C++;regexredux;PLOC;71
C++;regexredux;LLOC;23
C++;regexredux;CLOC;7
C++;regexredux;BLANK;16
C++;regexredux;CC;6.0
C++;regexredux;NARGS_SUM;1
C++;regexredux;NARGS_AVG;1
C++;regexredux;COGNITIVE_SUM;5
C++;regexredux;COGNITIVE_AVG;5
C++;regexredux;NEXITS;0
C++;regexredux;NEXITS_AVG;0
C++;regexredux;NOM__functions;1
C++;regexredux;NOM__closures;0
C++;regexredux;NOM__total;1
C++;regexredux;HALSTEAD__n1;22
C++;regexredux;HALSTEAD__n2;71
C++;regexredux;HALSTEAD__N1;218
C++;regexredux;HALSTEAD__N2;161
C++;regexredux;HALSTEAD__Vocabulary;93
C++;regexredux;HALSTEAD__Length;379
C++;regexredux;HALSTEAD__Volume;2478.3411894099436
C++;regexredux;HALSTEAD__Difficulty;24.943661971830984
C++;regexredux;HALSTEAD__Level;0.04009034443817053
C++;regexredux;HALSTEAD__Effort;61818.90487950718
C++;regexredux;HALSTEAD__Programming time;3434.3836044170657
C++;regexredux;HALSTEAD__Bugs;0.5211462496741232
C++;regexredux;HALSTEAD__Estimated program length;534.7395410948529
C++;regexredux;HALSTEAD__Purity ratio;1.4109222720180816
C++;regexredux;MI__Original;55.37883187857979
C++;regexredux;MI__Sei;25.31864346324061
C++;regexredux;MI__Visual Studio;32.38528180033906
C++;revcomp;SLOC;282
C++;revcomp;PLOC;222
C++;revcomp;LLOC;113
C++;revcomp;CLOC;14
C++;revcomp;BLANK;46
C++;revcomp;CC;70.0
C++;revcomp;NARGS_SUM;15
C++;revcomp;NARGS_AVG;0.5357142857142857
C++;revcomp;COGNITIVE_SUM;38
C++;revcomp;COGNITIVE_AVG;1.35714285714285
C++;revcomp;NEXITS;11
C++;revcomp;NEXITS_AVG;0.39285714285714285
C++;revcomp;NOM__functions;28
C++;revcomp;NOM__closures;0
C++;revcomp;NOM__total;28
C++;revcomp;HALSTEAD__n1;38
C++;revcomp;HALSTEAD__n2;123
C++;revcomp;HALSTEAD__N1;819
C++;revcomp;HALSTEAD__N2;535
C++;revcomp;HALSTEAD__Vocabulary;161
C++;revcomp;HALSTEAD__Length;1354
C++;revcomp;HALSTEAD__Volume;9926.061452967191
C++;revcomp;HALSTEAD__Difficulty;82.64227642276423
C++;revcomp;HALSTEAD__Level;0.012100344318740778
C++;revcomp;HALSTEAD__Effort;820312.3143854593
C++;revcomp;HALSTEAD__Programming time;45572.90635474774
C++;revcomp;HALSTEAD__Bugs;2.9210000610399707
C++;revcomp;HALSTEAD__Estimated program length;1053.3505296675826
C++;revcomp;HALSTEAD__Purity ratio;0.7779546009361762
C++;revcomp;MI__Original;15.645926405158932
C++;revcomp;MI__Sei;-29.082878320616135
C++;revcomp;MI__Visual Studio;9.149664564420428
C++;spectralnorm;SLOC;135
C++;spectralnorm;PLOC;97
C++;spectralnorm;LLOC;33
C++;spectralnorm;CLOC;13
C++;spectralnorm;BLANK;25
C++;spectralnorm;CC;22.0
C++;spectralnorm;NARGS_SUM;28
C++;spectralnorm;NARGS_AVG;3.5
C++;spectralnorm;COGNITIVE_SUM;12
C++;spectralnorm;COGNITIVE_AVG;1.5
C++;spectralnorm;NEXITS;4
C++;spectralnorm;NEXITS_AVG;0.5
C++;spectralnorm;NOM__functions;8
C++;spectralnorm;NOM__closures;0
C++;spectralnorm;NOM__total;8
C++;spectralnorm;HALSTEAD__n1;24
C++;spectralnorm;HALSTEAD__n2;61
C++;spectralnorm;HALSTEAD__N1;409
C++;spectralnorm;HALSTEAD__N2;284
C++;spectralnorm;HALSTEAD__Vocabulary;85
C++;spectralnorm;HALSTEAD__Length;693
C++;spectralnorm;HALSTEAD__Volume;4441.707918743427
C++;spectralnorm;HALSTEAD__Difficulty;55.868852459016395
C++;spectralnorm;HALSTEAD__Level;0.017899061032863848
C++;spectralnorm;HALSTEAD__Effort;248153.1243783213
C++;spectralnorm;HALSTEAD__Programming time;13786.284687684518
C++;spectralnorm;HALSTEAD__Bugs;1.3163112012968532
C++;spectralnorm;HALSTEAD__Estimated program length;471.81407760864386
C++;spectralnorm;HALSTEAD__Purity ratio;0.6808283948176679
C++;spectralnorm;MI__Original;42.800818500504576
C++;spectralnorm;MI__Sei;11.409492315309578
C++;spectralnorm;MI__Visual Studio;25.029718421347706
C;binarytrees;SLOC;139
C;binarytrees;PLOC;74
C;binarytrees;LLOC;28
C;binarytrees;CLOC;39
C;binarytrees;BLANK;26
C;binarytrees;CC;12.0
C;binarytrees;NARGS_SUM;3
C;binarytrees;NARGS_AVG;1
C;binarytrees;COGNITIVE_SUM;9
C;binarytrees;COGNITIVE_AVG;3
C;binarytrees;NEXITS;4
